Title,Album,Lyrics,Cleaned Lyrics,clean_lyrics_new,clean_title
Tim McGraw,Taylor Swift,"He said the way my blue eyes shined
Put those Georgia stars to shame that night
I said, ""That's a lie""
Just a boy in a Chevy truck
That had a tendency of gettin' stuck
On backroads at night

[Pre-Chorus]
And I was right there beside him all summer long
And then the time we woke up to find that summer gone

[Chorus]
But when you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me

[Verse 2]
September saw a month of tears
And thankin' God that you weren't here
To see me like that
But in a box beneath my bed
Is a letter that you never read
From three summers back

[Pre-Chorus]
It's hard not to find it all a little bittersweet
And lookin' back on all of that, it's nice to believe

[Chorus]
When you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me

[Bridge]
And I'm back for the first time since then
I'm standin' on your street
And there's a letter left on your doorstep
And the first thing that you'll read

[Chorus]
Is, ""When you think Tim McGraw
I hope you think my favorite song
Someday you'll turn your radio on
I hope it takes you back to that place""
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me
[Outro]
Oh, think of me, mmm
He said the way my blue eyes shined
Put those Georgia stars to shame that night
I said, ""That's a lie""",he said the way my blue eyes shined put those georgia stars to shame that night i said thats a lie just a boy in a chevy truck that had a tendency of gettin stuck on backroads at night and i was right there beside him all summer long and then the time we woke up to find that summer gone but when you think tim mcgraw i hope you think my favorite song the one we danced to all night long the moon like a spotlight on the lake when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jeans when you think tim mcgraw i hope you think of me september saw a month of tears and thankin god that you werent here to see me like that but in a box beneath my bed is a letter that you never read from three summers back its hard not to find it all a little bittersweet and lookin back on all of that its nice to believe when you think tim mcgraw i hope you think my favorite song the one we danced to all night long the moon like a spotlight on the lake when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jeans when you think tim mcgraw i hope you think of me and im back for the first time since then im standin on your street and theres a letter left on your doorstep and the first thing that youll read is when you think tim mcgraw i hope you think my favorite song someday youll turn your radio on i hope it takes you back to that place when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jeans when you think tim mcgraw i hope you think of me oh think of me mmm he said the way my blue eyes shined put those georgia stars to shame that night i said thats a lie,said way blue eyes shined put georgia stars shame night said thats lie boy chevy truck tendency gettin stuck backroads night right beside summer long time woke find summer gone think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jeans think tim mcgraw hope think september saw month tears thankin god werent see like box beneath bed letter never read three summers back hard find little bittersweet lookin back nice believe think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jeans think tim mcgraw hope think im back first time since im standin street theres letter left doorstep first thing youll read think tim mcgraw hope think favorite song someday youll turn radio hope takes back place think happiness hope think little black dress think head chest old faded blue jeans think tim mcgraw hope think oh think mmm said way blue eyes shined put georgia stars shame night said thats lie,tim mcgraw
Picture to Burn,Taylor Swift,"State the obvious, I didn't get my perfect fantasy
I realize you love yourself more than you could ever love me
So go and tell your friends that I'm obsessive and crazy
That's fine, you won't mind if I say
By the way

[Chorus]
I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn

[Verse 2]
There's no time for tears, I'm just sittin' here planning my revenge
There's nothing stoppin' me from goin' out with all of your best friends
And if you come around sayin' sorry to me
My daddy's gonna show ya how sorry you'll be

[Chorus]
'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn

[Bridge]
And if you're missing me, you'd better keep it to yourself
'Cause coming back around here would be bad for your health

[Chorus]
'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So watch me strike a match on all my wasted time
In case you haven't heard
I really, really hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn

[Outro]
Burn, burn, burn, baby, burn
You're just another picture to burn
Baby, burn",state the obvious i didnt get my perfect fantasy i realize you love yourself more than you could ever love me so go and tell your friends that im obsessive and crazy thats fine you wont mind if i say by the way i hate that stupid old pickup truck you never let me drive youre a redneck heartbreak whos really bad at lyin so watch me strike a match on all my wasted time as far as im concerned youre just another picture to burn theres no time for tears im just sittin here planning my revenge theres nothing stoppin me from goin out with all of your best friends and if you come around sayin sorry to me my daddys gonna show ya how sorry youll be cause i hate that stupid old pickup truck you never let me drive youre a redneck heartbreak whos really bad at lyin so watch me strike a match on all my wasted time as far as im concerned youre just another picture to burn and if youre missing me youd better keep it to yourself cause coming back around here would be bad for your health cause i hate that stupid old pickup truck you never let me drive youre a redneck heartbreak whos really bad at lyin so watch me strike a match on all my wasted time in case you havent heard i really really hate that stupid old pickup truck you never let me drive youre a redneck heartbreak whos really bad at lyin so watch me strike a match on all my wasted time as far as im concerned youre just another picture to burn burn burn burn baby burn youre just another picture to burn baby burn,state obvious didnt get perfect fantasy realize love could ever love go tell friends im obsessive crazy thats fine wont mind say way hate stupid old pickup truck never let drive youre redneck heartbreak whos really bad lyin watch strike match wasted time far im concerned youre another picture burn theres time tears im sittin planning revenge theres nothing stoppin goin best friends come around sayin sorry daddys gonna show ya sorry youll cause hate stupid old pickup truck never let drive youre redneck heartbreak whos really bad lyin watch strike match wasted time far im concerned youre another picture burn youre missing youd better keep cause coming back around would bad health cause hate stupid old pickup truck never let drive youre redneck heartbreak whos really bad lyin watch strike match wasted time case havent heard really really hate stupid old pickup truck never let drive youre redneck heartbreak whos really bad lyin watch strike match wasted time far im concerned youre another picture burn burn burn burn baby burn youre another picture burn baby burn,picture burn
Teardrops On My Guitar,Taylor Swift,"Drew looks at me
I fake a smile so he won't see
That I want and I'm needing
Everything that we should be

[Pre-Chorus]
I'll bet she's beautiful, that girl he talks about
And she's got everything that I have to live without

[Verse 2]
Drew talks to me
I laugh 'cause it's just so funny
That I can't even see
Anyone when he's with me

[Pre-Chorus]
He says he's so in love, he's finally got it right
I wonder if he knows he's all I think about at night

[Chorus]
He's the reason for the teardrops on my guitar
The only thing that keeps me wishin' on a wishing star
He's the song in the car I keep singing, don't know why I do

[Verse 3]
Drew walks by me
Can he tell that I can't breathe?
And there he goes, so perfectly
The kind of flawless I wish I could be

[Pre-Chorus]
She'd better hold him tight, give him all her love
Look in those beautiful eyes and know she's lucky 'cause

[Chorus]
He's the reason for the teardrops on my guitar
The only thing that keeps me wishin' on a wishing star
He's the song in the car I keep singing, don't know why I do

[Pre-Chorus]
So I'll drive home alone as I turn off the light
I'll put his picture down and maybe get some sleep tonight

[Chorus]
'Cause he's the reason for the teardrops on my guitar
The only one who's got enough of me to break my heart
He's the song in the car I keep singing, don't know why I do

[Outro]
He's the time taken up, but there's never enough
And he's all that I need to fall into
Drew looks at me
I fake a smile, so he won't see",drew looks at me i fake a smile so he wont see that i want and im needing everything that we should be ill bet shes beautiful that girl he talks about and shes got everything that i have to live without drew talks to me i laugh cause its just so funny that i cant even see anyone when hes with me he says hes so in love hes finally got it right i wonder if he knows hes all i think about at night hes the reason for the teardrops on my guitar the only thing that keeps me wishin on a wishing star hes the song in the car i keep singing dont know why i do drew walks by me can he tell that i cant breathe and there he goes so perfectly the kind of flawless i wish i could be shed better hold him tight give him all her love look in those beautiful eyes and know shes lucky cause hes the reason for the teardrops on my guitar the only thing that keeps me wishin on a wishing star hes the song in the car i keep singing dont know why i do so ill drive home alone as i turn off the light ill put his picture down and maybe get some sleep tonight cause hes the reason for the teardrops on my guitar the only one whos got enough of me to break my heart hes the song in the car i keep singing dont know why i do hes the time taken up but theres never enough and hes all that i need to fall into drew looks at me i fake a smile so he wont see,drew looks fake smile wont see want im needing everything ill bet shes beautiful girl talks shes got everything live without drew talks laugh cause funny cant even see anyone hes says hes love hes finally got right wonder knows hes think night hes reason teardrops guitar thing keeps wishin wishing star hes song car keep singing dont know drew walks tell cant breathe goes perfectly kind flawless wish could shed better hold tight give love look beautiful eyes know shes lucky cause hes reason teardrops guitar thing keeps wishin wishing star hes song car keep singing dont know ill drive home alone turn light ill put picture maybe get sleep tonight cause hes reason teardrops guitar one whos got enough break heart hes song car keep singing dont know hes time taken theres never enough hes need fall drew looks fake smile wont see,teardrops guitar
A Place In This World,Taylor Swift,"I don't know what I want, so don't ask me
'Cause I'm still trying to figure it out
Don't know what's down this road, I'm just walking
Trying to see through the rain coming down
Even though I'm not the only one
Who feels the way I do

[Chorus]
I'm alone, on my own, and that's all I know
I'll be strong, I'll be wrong, oh, but life goes on
Oh, I'm just a girl trying to find a place in this world

[Verse 2]
Got the radio on, my old blue jeans
And I'm wearing my heart on my sleeve
Feeling lucky today, got the sunshine
Could you tell me what more do I need?
And tomorrow's just a mystery, oh, yeah
But that's okay

[Chorus]
I'm alone, on my own, and that's all I know
I'll be strong, I'll be wrong, oh, but life goes on
Oh, I'm just a girl trying to find a place in this world

[Bridge]
Maybe I'm just a girl on a mission
But I'm ready to fly

[Chorus]
I'm alone, on my own, and that's all I know
I'll be strong, I'll be wrong, oh, but life goes on
Oh, I'm alone, on my own, and that's all I know
Oh, I'm just a girl trying to find a place in this world

[Outro]
Oh, I'm just a girl
Oh, I'm just a girl, oh, oh
Oh, I'm just a girl",i dont know what i want so dont ask me cause im still trying to figure it out dont know whats down this road im just walking trying to see through the rain coming down even though im not the only one who feels the way i do im alone on my own and thats all i know ill be strong ill be wrong oh but life goes on oh im just a girl trying to find a place in this world got the radio on my old blue jeans and im wearing my heart on my sleeve feeling lucky today got the sunshine could you tell me what more do i need and tomorrows just a mystery oh yeah but thats okay im alone on my own and thats all i know ill be strong ill be wrong oh but life goes on oh im just a girl trying to find a place in this world maybe im just a girl on a mission but im ready to fly im alone on my own and thats all i know ill be strong ill be wrong oh but life goes on oh im alone on my own and thats all i know oh im just a girl trying to find a place in this world oh im just a girl oh im just a girl oh oh oh im just a girl,dont know want dont ask cause im still trying figure dont know whats road im walking trying see rain coming even though im one feels way im alone thats know ill strong ill wrong oh life goes oh im girl trying find place world got radio old blue jeans im wearing heart sleeve feeling lucky today got sunshine could tell need tomorrows mystery oh yeah thats okay im alone thats know ill strong ill wrong oh life goes oh im girl trying find place world maybe im girl mission im ready fly im alone thats know ill strong ill wrong oh life goes oh im alone thats know oh im girl trying find place world oh im girl oh im girl oh oh oh im girl,place world
Cold as You,Taylor Swift,"You have a way of coming easily to me
And when you take, you take the very best of me
So I start a fight 'cause I need to feel something
And you do what you want 'cause I'm not what you wanted

[Chorus]
Oh, what a shame, what a rainy ending
Given to a perfect day
Just walk away, ain't no use defending
Words that you will never say
And now that I'm sitting here thinking it through
I've never been anywhere cold as you

[Verse 2]
You put up walls and paint them all a shade of gray
And I stood there loving you and wished them all away
And you come away with a great little story
Of a mess of a dreamer with the nerve to adore you

[Chorus]
Oh, what a shame, what a rainy ending
Given to a perfect day
So just walk away, ain't no use defending
Words that you will never say
And now that I'm sitting here thinking it through
I've never been anywhere cold as you

[Bridge]
You never did give a damn thing, honey
But I cried, cried for you
And I know you wouldn't have told nobody
If I died, died for you, died for you

[Chorus]
Oh, what a shame, what a rainy ending
Given to a perfect day, oh
Every smile you fake is so condescending
Counting all the scars you made
And now that I'm sitting here thinking it through
I've never been anywhere cold as you
Ooh-oh",you have a way of coming easily to me and when you take you take the very best of me so i start a fight cause i need to feel something and you do what you want cause im not what you wanted oh what a shame what a rainy ending given to a perfect day just walk away aint no use defending words that you will never say and now that im sitting here thinking it through ive never been anywhere cold as you you put up walls and paint them all a shade of gray and i stood there loving you and wished them all away and you come away with a great little story of a mess of a dreamer with the nerve to adore you oh what a shame what a rainy ending given to a perfect day so just walk away aint no use defending words that you will never say and now that im sitting here thinking it through ive never been anywhere cold as you you never did give a damn thing honey but i cried cried for you and i know you wouldnt have told nobody if i died died for you died for you oh what a shame what a rainy ending given to a perfect day oh every smile you fake is so condescending counting all the scars you made and now that im sitting here thinking it through ive never been anywhere cold as you oohoh,way coming easily take take best start fight cause need feel something want cause im wanted oh shame rainy ending given perfect day walk away aint use defending words never say im sitting thinking ive never anywhere cold put walls paint shade gray stood loving wished away come away great little story mess dreamer nerve adore oh shame rainy ending given perfect day walk away aint use defending words never say im sitting thinking ive never anywhere cold never give damn thing honey cried cried know wouldnt told nobody died died died oh shame rainy ending given perfect day oh every smile fake condescending counting scars made im sitting thinking ive never anywhere cold oohoh,cold
The Outside,Taylor Swift,"I didn't know what I would find
When I went looking for a reason, I know
I didn't read between the lines
And, baby, I've got nowhere to go

[Pre-Chorus]
I tried to take the road less traveled by
But nothing seems to work the first few times
Am I right?

[Chorus]
So how can I ever try to be better?
Nobody ever lets me in
I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside

[Verse 2]
You saw me there, but never knew
That I would give it all up to be
A part of this, a part of you
And now, it's all too late, so you see

[Pre-Chorus]
You could've helped if you had wanted to
But no one notices until it's too late to do anything

[Chorus]
How can I ever try to be better?
Nobody ever lets me in
I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside

[Post-Chorus]
Oh, yeah

[Chorus]
How can I ever try to be better?
Nobody ever lets me in
And I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside

[Outro]
Oh-oh
Oh, oh-oh
Oh-oh
Oh-oh",i didnt know what i would find when i went looking for a reason i know i didnt read between the lines and baby ive got nowhere to go i tried to take the road less traveled by but nothing seems to work the first few times am i right so how can i ever try to be better nobody ever lets me in i can still see you this aint the best view on the outside looking in ive been a lot of lonely places ive never been on the outside you saw me there but never knew that i would give it all up to be a part of this a part of you and now its all too late so you see you couldve helped if you had wanted to but no one notices until its too late to do anything how can i ever try to be better nobody ever lets me in i can still see you this aint the best view on the outside looking in ive been a lot of lonely places ive never been on the outside oh yeah how can i ever try to be better nobody ever lets me in and i can still see you this aint the best view on the outside looking in ive been a lot of lonely places ive never been on the outside ohoh oh ohoh ohoh ohoh,didnt know would find went looking reason know didnt read lines baby ive got nowhere go tried take road less traveled nothing seems work first times right ever try better nobody ever lets still see aint best view outside looking ive lot lonely places ive never outside saw never knew would give part part late see couldve helped wanted one notices late anything ever try better nobody ever lets still see aint best view outside looking ive lot lonely places ive never outside oh yeah ever try better nobody ever lets still see aint best view outside looking ive lot lonely places ive never outside ohoh oh ohoh ohoh ohoh,outside
Tied Together with a Smile,Taylor Swift,"Seems the only one who doesn't see your beauty
Is the face in the mirror looking back at you
You walk around here thinking you're not pretty
But that's not true
'Cause I know you

[Chorus]
Hold on, baby, you're losing it
The water's high, you're jumping into it and letting go
And no one knows
That you cry, but you don't tell anyone
That you might not be the golden one
And you're tied together with a smile
But you're coming undone, oh

[Verse 2]
I guess it's true that love was all you wanted
'Cause you're giving it away like it's extra change
Hoping it will end up in his pocket (Pocket)
But he leaves you out like a penny in the rain
Oh, 'cause it's not his price to pay
It's not his price to pay

[Chorus]
Hold on, baby, you're losing it
The water's high, you're jumping into it and letting go
And no one knows
That you cry, but you don't tell anyone
That you might not be the golden one
And you're tied together with a smile
But you're coming undone, oh
Oh, oh

[Chorus]
Hold on, baby, you're losing it
The water's high, you're jumping into it and letting go
And no one knows
That you cry but you don't tell anyone
That you might not be the golden one
And you're tied together with a smile
But you're coming undone, oh

[Outro]
You're tied together with a smile
But you're coming undone, oh, oh-oh
Goodbye, baby
With a smile, baby, baby
Oh",seems the only one who doesnt see your beauty is the face in the mirror looking back at you you walk around here thinking youre not pretty but thats not true cause i know you hold on baby youre losing it the waters high youre jumping into it and letting go and no one knows that you cry but you dont tell anyone that you might not be the golden one and youre tied together with a smile but youre coming undone oh i guess its true that love was all you wanted cause youre giving it away like its extra change hoping it will end up in his pocket pocket but he leaves you out like a penny in the rain oh cause its not his price to pay its not his price to pay hold on baby youre losing it the waters high youre jumping into it and letting go and no one knows that you cry but you dont tell anyone that you might not be the golden one and youre tied together with a smile but youre coming undone oh oh oh hold on baby youre losing it the waters high youre jumping into it and letting go and no one knows that you cry but you dont tell anyone that you might not be the golden one and youre tied together with a smile but youre coming undone oh youre tied together with a smile but youre coming undone oh ohoh goodbye baby with a smile baby baby oh,seems one doesnt see beauty face mirror looking back walk around thinking youre pretty thats true cause know hold baby youre losing waters high youre jumping letting go one knows cry dont tell anyone might golden one youre tied together smile youre coming undone oh guess true love wanted cause youre giving away like extra change hoping end pocket pocket leaves like penny rain oh cause price pay price pay hold baby youre losing waters high youre jumping letting go one knows cry dont tell anyone might golden one youre tied together smile youre coming undone oh oh oh hold baby youre losing waters high youre jumping letting go one knows cry dont tell anyone might golden one youre tied together smile youre coming undone oh youre tied together smile youre coming undone oh ohoh goodbye baby smile baby baby oh,tied together smile
Stay Beautiful,Taylor Swift,"Cory's eyes are like a jungle
He smiles, it's like the radio
He whispers songs into my window
In words that nobody knows
There's pretty girls on every corner
They watch him as he's walking home
Saying, ""Does he know?""
Will you ever know?

[Chorus]
You're beautiful, every little piece, love
Don't you know you're really gonna be someone?
Ask anyone
And when you find everything you looked for
I hope your life leads you back to my door
Oh, but if it don't
Stay beautiful

[Verse 2]
Cory finds another way to be
The highlight of my day
I'm taking pictures in my mind
So I can save 'em for a rainy day
It's hard to make a conversation
When he's taking my breath away
I should say, ""Hey, by the way""

[Chorus]
You're beautiful, every little piece, love
Don't you know you're really gonna be someone?
Ask anyone
And when you find everything you looked for
I hope your life leads you back to my door
Oh, but if it don't
Stay beautiful

[Bridge]
If you and I are a story
That never gets told
If what you are is a daydream
I'll never get to hold, at least you'll know

[Chorus]
You're beautiful, every little piece, love
Don't you know you're really gonna be someone?
Ask anyone
And when you find everything you looked for
I hope your life leads you back to my front door
Oh, but if it don't
Will you stay beautiful, beautiful, beautiful?
Beautiful, beautiful, beautiful

[Outro]
La-la-la
Oh-oh-oh
Oh-oh-oh-oh
Oh, but if it don't
Stay beautiful, stay beautiful
Na-na-na, na-na",corys eyes are like a jungle he smiles its like the radio he whispers songs into my window in words that nobody knows theres pretty girls on every corner they watch him as hes walking home saying does he know will you ever know youre beautiful every little piece love dont you know youre really gonna be someone ask anyone and when you find everything you looked for i hope your life leads you back to my door oh but if it dont stay beautiful cory finds another way to be the highlight of my day im taking pictures in my mind so i can save em for a rainy day its hard to make a conversation when hes taking my breath away i should say hey by the way youre beautiful every little piece love dont you know youre really gonna be someone ask anyone and when you find everything you looked for i hope your life leads you back to my door oh but if it dont stay beautiful if you and i are a story that never gets told if what you are is a daydream ill never get to hold at least youll know youre beautiful every little piece love dont you know youre really gonna be someone ask anyone and when you find everything you looked for i hope your life leads you back to my front door oh but if it dont will you stay beautiful beautiful beautiful beautiful beautiful beautiful lalala ohohoh ohohohoh oh but if it dont stay beautiful stay beautiful nanana nana,corys eyes like jungle smiles like radio whispers songs window words nobody knows theres pretty girls every corner watch hes walking home saying know ever know youre beautiful every little piece love dont know youre really gonna someone ask anyone find everything looked hope life leads back door oh dont stay beautiful cory finds another way highlight day im taking pictures mind save em rainy day hard make conversation hes taking breath away say hey way youre beautiful every little piece love dont know youre really gonna someone ask anyone find everything looked hope life leads back door oh dont stay beautiful story never gets told daydream ill never get hold least youll know youre beautiful every little piece love dont know youre really gonna someone ask anyone find everything looked hope life leads back front door oh dont stay beautiful beautiful beautiful beautiful beautiful beautiful lalala ohohoh ohohohoh oh dont stay beautiful stay beautiful nanana nana,stay beautiful
Should've Said No,Taylor Swift,"It's strange to think the songs we used to sing
The smiles, the flowers, everything is gone
Yesterday, I found out about you
Even now, just lookin' at you feels wrong

[Pre-Chorus]
You say that you'd take it all back
Given one chance
It was a moment of weakness
And you said yes

[Chorus]
You should've said no, you should've gone home
You should've thought twice 'fore you let it all go
You should've known that word
'Bout what you did with her'd get back to me (Get back to me)
And I should've been there in the back of your mind
I shouldn't be asking myself why
You shouldn't be begging for forgiveness at my feet
You should've said no
Baby, and you might still have me

[Verse 2]
You can see that I've been cryin'
And baby, you know all the right things to say
But do you honestly expect me to believe
We could ever be the same?

[Pre-Chorus]
You say that the past is the past
You need one chance
It was a moment of weakness
And you said yes

[Chorus]
You should've said no, you should've gone home
You should've thought twice 'fore you let it all go
You should've known that word
'Bout what you did with her'd get back to me (Get back to me)
And I should've been there in the back of your mind
I shouldn't be asking myself why
You shouldn't be begging for forgiveness at my feet
You should've said no
Baby, and you might still have me
Oh, oh

[Bridge]
I can't resist
Before you go, tell me this
Was it worth it?
Was she worth this?
No, no
No, no, no, no
[Chorus]
You should've said no, you should've gone home
You should've thought twice 'fore you let it all go
You should've known that word
'Bout what you did with her'd get back to me (Get back to me)
And I should've been there, in the back of your mind
I shouldn't be asking myself why
You shouldn't be begging for forgiveness at my feet
You should've said no
Baby, and you might still have me",its strange to think the songs we used to sing the smiles the flowers everything is gone yesterday i found out about you even now just lookin at you feels wrong you say that youd take it all back given one chance it was a moment of weakness and you said yes you shouldve said no you shouldve gone home you shouldve thought twice fore you let it all go you shouldve known that word bout what you did with herd get back to me get back to me and i shouldve been there in the back of your mind i shouldnt be asking myself why you shouldnt be begging for forgiveness at my feet you shouldve said no baby and you might still have me you can see that ive been cryin and baby you know all the right things to say but do you honestly expect me to believe we could ever be the same you say that the past is the past you need one chance it was a moment of weakness and you said yes you shouldve said no you shouldve gone home you shouldve thought twice fore you let it all go you shouldve known that word bout what you did with herd get back to me get back to me and i shouldve been there in the back of your mind i shouldnt be asking myself why you shouldnt be begging for forgiveness at my feet you shouldve said no baby and you might still have me oh oh i cant resist before you go tell me this was it worth it was she worth this no no no no no no you shouldve said no you shouldve gone home you shouldve thought twice fore you let it all go you shouldve known that word bout what you did with herd get back to me get back to me and i shouldve been there in the back of your mind i shouldnt be asking myself why you shouldnt be begging for forgiveness at my feet you shouldve said no baby and you might still have me,strange think songs used sing smiles flowers everything gone yesterday found even lookin feels wrong say youd take back given one chance moment weakness said yes shouldve said shouldve gone home shouldve thought twice fore let go shouldve known word bout herd get back get back shouldve back mind shouldnt asking shouldnt begging forgiveness feet shouldve said baby might still see ive cryin baby know right things say honestly expect believe could ever say past past need one chance moment weakness said yes shouldve said shouldve gone home shouldve thought twice fore let go shouldve known word bout herd get back get back shouldve back mind shouldnt asking shouldnt begging forgiveness feet shouldve said baby might still oh oh cant resist go tell worth worth shouldve said shouldve gone home shouldve thought twice fore let go shouldve known word bout herd get back get back shouldve back mind shouldnt asking shouldnt begging forgiveness feet shouldve said baby might still,said
Mary's Song (Oh My My My),Taylor Swift,"She said I was seven and you were nine
I looked at you like the stars that shined
In the sky, the pretty lights
And our daddies used to joke about the two of us
Growing up and falling in love
And our mamas smiled and rolled their eyes
And said, ""Oh, my, my, my""

[Chorus]
Take me back to the house in the backyard tree
Said you'd beat me up, you were bigger than me
You never did, you never did
Take me back when our world was one block wide
I dared you to kiss me and ran when you tried
Just two kids, you and I
Oh, my, my, my, my

[Verse 2]
Well, I was sixteen when suddenly
I wasn't that little girl you used to see
But your eyes still shined like pretty lights
And our daddies used to joke about the two of us
They never believed we'd really fall in love
And our mamas smiled and rolled their eyes
And said, ""Oh, my, my, my""

[Chorus]
Take me back to the creek beds we turned up
2 AM riding in your truck
And all I need is you next to me
Take me back to the time we had our very first fight
The slamming of doors 'stead of kissing goodnight
You stayed outside 'til the morning light
Oh, my, my, my, my

[Bridge]
A few years had gone and come around
We were sitting at our favorite spot in town
And you looked at me, got down on one knee

[Chorus]
Take me back to the time when we walked down the aisle
Our whole town came and our mamas cried
You said, ""I do,"" and I did, too
Take me home where we met so many years before
We'll rock our babies on that very front porch
After all this time, you and I

[Outro]
And I'll be eighty-seven, you'll be eighty-nine
I'll still look at you like the stars that shine
In the sky, oh, my, my, my",she said i was seven and you were nine i looked at you like the stars that shined in the sky the pretty lights and our daddies used to joke about the two of us growing up and falling in love and our mamas smiled and rolled their eyes and said oh my my my take me back to the house in the backyard tree said youd beat me up you were bigger than me you never did you never did take me back when our world was one block wide i dared you to kiss me and ran when you tried just two kids you and i oh my my my my well i was sixteen when suddenly i wasnt that little girl you used to see but your eyes still shined like pretty lights and our daddies used to joke about the two of us they never believed wed really fall in love and our mamas smiled and rolled their eyes and said oh my my my take me back to the creek beds we turned up 2 am riding in your truck and all i need is you next to me take me back to the time we had our very first fight the slamming of doors stead of kissing goodnight you stayed outside til the morning light oh my my my my a few years had gone and come around we were sitting at our favorite spot in town and you looked at me got down on one knee take me back to the time when we walked down the aisle our whole town came and our mamas cried you said i do and i did too take me home where we met so many years before well rock our babies on that very front porch after all this time you and i and ill be eightyseven youll be eightynine ill still look at you like the stars that shine in the sky oh my my my,said seven nine looked like stars shined sky pretty lights daddies used joke two us growing falling love mamas smiled rolled eyes said oh take back house backyard tree said youd beat bigger never never take back world one block wide dared kiss ran tried two kids oh well sixteen suddenly wasnt little girl used see eyes still shined like pretty lights daddies used joke two us never believed wed really fall love mamas smiled rolled eyes said oh take back creek beds turned 2 riding truck need next take back time first fight slamming doors stead kissing goodnight stayed outside til morning light oh years gone come around sitting favorite spot town looked got one knee take back time walked aisle whole town came mamas cried said take home met many years well rock babies front porch time ill eightyseven youll eightynine ill still look like stars shine sky oh,mary's song (oh my)
